Order_ID,Order_Date,Product,Region,Quantity,Unit_Price,Total_Sales
167,2025-02-16,Monitor,North,6,21928,131568
168,2025-08-11,Tablet,South,8,4093,32744
169,2025-03-08,Monitor,East,8,26321,210568
170,2025-02-03,Mouse,South,9,9361,84249
171,2025-08-17,Headphones,East,8,39626,317008
172,2025-07-24,Keyboard,East,7,3426,23982
173,2025-02-07,Headphones,South,4,21751,87004
174,2025-12-25,Mouse,East,5,37542,187710
175,2025-10-13,Mobile,West,1,11670,11670
176,2025-09-04,Tablet,East,8,46629,373032
177,2025-06-11,Tablet,North,2,27209,54418
178,2025-03-16,Tablet,South,3,12947,38841
179,2025-09-05,Monitor,North,3,2734,8202
180,2025-05-14,Keyboard,South,9,22845,205605
181,2025-07-09,Mouse,West,1,10635,10635
182,2025-03-24,Tablet,South,4,8264,33056
183,2025-10-26,Laptop,East,5,14483,72415
184,2025-03-06,Mouse,South,5,27106,135530
185,2025-02-19,Monitor,East,3,6998,20994
186,2025-11-24,Monitor,North,6,27644,165864
187,2025-04-26,Tablet,North,6,43717,262302
188,2025-12-27,Mobile,East,8,11731,93848
189,2025-01-29,Headphones,South,6,12089,72534
190,2025-07-25,Monitor,East,8,22579,180632
191,2025-02-06,Tablet,South,5,32737,163685
192,2025-05-22,Laptop,South,10,37598,375980
193,2025-10-28,Laptop,East,7,12085,84595
194,2025-12-03,Laptop,South,6,48661,291966
195,2025-04-02,Keyboard,East,1,1490,1490
196,2025-07-06,Tablet,North,8,35089,280712
197,2025-08-13,Monitor,West,9,21544,193896
198,2025-10-04,Monitor,North,6,48288,289728
199,2025-06-14,Mobile,West,5,2030,10150
200,2025-11-19,Mobile,North,1,31638,31638
